pdb,junction_bp,junction_stacking
R1156TS076_3,False,False
R1156TS239_1,False,False
R1156TS287_5,True,True
R1156TS245_2,False,False
R1156TSex3_1,True,False
R1156TS489_4,True,False
R1156TS238_4,False,False
R1156TS110_3,True,False
R1156TS470_5,False,False
R1156TS035_5,True,True
R1156TS235_5,False,False
R1156TS248_2,True,False
R1156TS232_2,True,False
R1156TS392_5,False,False
R1156TS125_3,False,False
R1156TS097_3,False,False
R1156TS434_3,False,False
R1156TS081_3,True,False
R1156TS470_4,True,False
R1156TS081_5,True,False
R1156TS439_5,False,False
R1156TS029_5,False,False
R1156TSex3_5,True,True
R1156TS248_3,True,True
R1156TS385_1,False,False
R1156TSex0_0,True,True
R1156TS081_2,True,False
R1156TSex0_7,True,True
R1156TSex2_6,True,False
R1156TS128_1,True,True
R1156TSex1_5,True,False
R1156TS054_2,True,False
R1156TS185_2,False,False
R1156TS054_5,True,True
R1156TS119_5,False,False
R1156TS035_4,True,True
R1156TS128_5,True,True
R1156TS489_2,True,False
R1156TS232_5,True,False
R1156TS227_3,False,False
R1156TS147_4,False,False
R1156TS287_1,True,False
R1156TS239_4,False,False
R1156TS489_1,True,False
R1156TS392_3,True,False
R1156TS416_1,True,False
R1156TS119_4,True,False
R1156TS119_2,True,False
R1156TS392_2,True,True
R1156TS238_1,False,False
R1156TS125_2,False,False
R1156TS232_1,True,False
R1156TS287_2,True,False
R1156TS229_5,False,False
R1156TS081_1,True,False
R1156TSex2_0,True,True
R1156TS147_2,False,False
R1156TS054_1,True,False
R1156TS131_1,False,False
R1156TS147_3,False,False
R1156TS239_3,False,False
R1156TS097_1,False,False
R1156TS232_3,True,False
R1156TS076_2,False,False
R1156TSex1_6,True,True
R1156TS091_2,False,False
R1156TSex0_1,True,True
R1156TSex2_2,True,False
R1156TS238_3,False,False
R1156TS185_1,False,False
R1156TSex2_8,False,True
R1156TS128_4,False,False
R1156TSex1_4,True,True
R1156TS035_2,True,False
R1156TS054_4,False,False
R1156TS248_5,False,False
R1156TS416_5,False,False
R1156TS232_4,True,False
R1156TS434_2,False,False
R1156TS185_4,False,False
R1156TS091_1,False,False
R1156TS235_4,False,False
R1156TS470_2,True,False
R1156TSex3_3,True,False
R1156TSex1_1,True,True
R1156TS110_1,False,False
R1156TSex0_4,True,True
R1156TS076_1,False,False
R1156TS470_1,True,False
R1156TSex1_0,True,True
R1156TS392_4,True,False
R1156TS434_1,False,False
R1156TS227_4,False,False
R1156TS029_3,False,False
R1156TSex3_4,True,True
R1156TS434_4,False,False
R1156TS227_5,False,False
R1156TS035_1,True,True
R1156TS470_3,True,False
R1156TS125_5,True,True
R1156TS128_2,True,True
R1156TSex1_7,True,False
R1156TS238_5,False,False
R1156TS287_3,True,False
R1156TS029_1,False,False
R1156TSex3_8,True,True
R1156TSex3_7,True,True
R1156TS131_2,False,False
R1156TS227_1,False,False
R1156TS392_1,True,False
R1156TS097_2,False,False
R1156TSex1_9,True,True
R1156TS229_3,False,False
R1156TS416_3,False,False
R1156TS227_2,False,False
R1156TS235_1,False,False
R1156TS110_5,False,False
R1156TS248_1,True,True
R1156TS245_1,False,False
R1156TSex1_2,True,True
R1156TS416_2,False,False
R1156TS091_3,False,False
R1156TS147_5,False,False
R1156TS125_1,False,False
R1156TS076_4,False,False
R1156TS185_3,False,False
R1156TS235_3,False,False
R1156TS245_4,False,False
R1156TSex2_1,True,True
R1156TS131_4,False,False
R1156TS081_4,True,False
R1156TS439_4,False,False
R1156TS238_2,False,False
R1156TS110_2,True,True
R1156TS239_5,False,False
R1156TSex0_6,True,True
R1156TS119_1,True,False
R1156TS091_5,False,False
R1156TS131_5,False,False
R1156TS185_5,False,False
R1156TS125_4,False,False
R1156TS229_1,False,False
R1156TS235_2,False,False
R1156TSex1_3,True,True
R1156TSex2_4,True,True
R1156TS054_3,True,False
R1156TS239_2,False,False
R1156TS229_4,False,False
R1156TSex0_8,True,False
R1156TS489_5,False,False
R1156TSex0_5,True,True
R1156TSex0_9,True,True
R1156TSex2_3,True,True
R1156TSex1_8,True,True
R1156TSex2_5,True,True
R1156TS287_4,True,False
R1156TS147_1,False,False
R1156TSex3_9,True,False
R1156TS131_3,False,False
R1156TS489_3,True,False
R1156TS029_2,False,False
R1156TS245_5,False,False
R1156TS076_5,True,False
R1156TS177_1,False,False
R1156TSex0_3,True,True
R1156TS439_2,False,False
R1156TSex0_2,True,True
R1156TS416_4,True,False
R1156TS229_2,False,False
R1156TS091_4,False,False
R1156TS245_3,False,False
R1156TS110_4,True,False
R1156TS439_3,False,False
R1156TSex2_9,True,False
R1156TS035_3,False,False
R1156TS029_4,False,False
R1156TSex3_6,True,True
R1156TS128_3,True,True
R1156TSex2_7,False,True
R1156TSex3_2,True,True
R1156TS434_5,False,False
R1156TS119_3,True,False
R1156TSex3_0,True,True
R1156TS439_1,False,False
R1156TS248_4,True,True
