,target,gr_code,model,tm_score,gdt_ts,global_rmsd,lddt,clashscore,inf_all,zscore_gdt_ts,zscore_clashscore,zscore_inf_all,zscore_tm_score,zscore_lddt,zscore_global_rmsd,z_rna
0,R1107,29,1,0.2762,35.145,17.15,0.4246147267547561,0.45,0.57,0.4405277795241761,0.6629616315047612,-0.6618465859157856,-0.10162489922881256,-0.08472390841748516,0.024736360236032037,0.07489311759885908
1,R1107,29,2,0.2801,34.42,17.1,0.4464242225154761,0.0,0.64,0.38185182249945043,0.6846367822826562,-0.11269447982197205,-0.05618851083640824,0.08976212582281046,0.031310630566696945,0.16274095816134024
2,R1107,35,1,0.2326,19.203,20.6,0.3427700027752133,1.36,0.46,-0.8496958161836506,0.6191296599316843,-1.524799895491777,-0.6095804207438947,-0.7395194831231791,-0.42888829257987277,-0.7178711963084109
3,R1107,35,2,0.1928,19.203,22.06,0.3361038269626139,0.9,0.47,-0.8496958161836506,0.641286480726866,-1.4463495946212326,-1.0732645894663781,-0.7928519670031569,-0.6208569862352986,-0.8674464570258194
4,R1107,35,3,0.2106,19.928,21.47,0.3475855643594637,1.81,0.49,-0.7910198591589249,0.5974545091537892,-1.289448992880143,-0.8658882527010463,-0.7009927673891502,-0.5432805963334483,-0.7513200482241695
5,R1107,35,4,0.1507,18.478,22.82,0.3204026324881204,2.26,0.47,-0.9083717732083759,0.575779358375894,-1.4463495946212326,-1.5637445769843819,-0.918468771112138,-0.7207858952614111,-1.0716594659162662
6,R1107,35,5,0.2407,18.478,21.8,0.3391070042987489,3.17,0.51,-0.9083717732083759,0.5319473868028172,-1.1325483911390535,-0.5152125371596709,-0.7688251619246874,-0.5866707805158394,-0.6678708486887485
7,R1107,54,1,0.3683,36.232,7.74,0.5802277374081772,0.45,0.83,0.5285012488840056,0.6629616315047612,1.3778612367183771,0.9713728881918086,1.1602520141350658,1.2620140364672376,0.8724690046740151
8,R1107,54,2,0.3718,46.014,6.43,0.6198424924814372,1.36,0.82,1.3201815407679576,0.6191296599316843,1.2994109358478323,1.0121491341849918,1.4771883425110304,1.4342599191306682,1.176112606440148
9,R1107,54,3,0.3739,43.116,8.13,0.5795395977639709,1.36,0.78,1.085639577378089,0.6191296599316843,0.9856097323656541,1.0366148817809016,1.154746579308033,1.2107347278880485,1.026556830339848
10,R1107,54,4,0.3681,38.406,7.51,0.5985413138653058,10.85,0.84,0.7044481876036652,0.1620248135267403,1.456311537588922,0.9690428169921977,1.3067690800874114,1.292255679988298,0.9167174798687243
11,R1107,54,5,0.3958,40.217,7.81,0.5720465216381688,0.9,0.76,0.8510166816337037,0.641286480726866,0.8287091306245645,1.2917576781382476,1.0947985111914558,1.2528100580043064,1.0081371152115584
12,R1107,76,1,0.232,20.652,20.26,0.3700449697841563,7.69,0.55,-0.7324248344887163,0.31423253898929276,-0.8187471876568743,-0.6165706343427261,-0.5213071558122129,-0.38418325433134887,-0.590985904295009
13,R1107,76,2,0.2553,23.188,19.96,0.4075499963185945,7.69,0.62,-0.5271803834339525,0.31423253898929276,-0.2695950815630616,-0.34511733958810625,-0.22124962968373443,-0.34473763234735705,-0.3259354516640946
14,R1107,76,3,0.2987,22.464,18.98,0.3891854465544876,7.24,0.57,-0.5857754081041612,0.3359076897671879,-0.6618465859157856,0.16050811072736543,-0.368174505623268,-0.2158819338663175,-0.24251609475404795
15,R1107,76,4,0.2293,19.928,22.94,0.3835953738892066,6.78,0.57,-0.7910198591589249,0.3580645105623696,-0.6618465859157856,-0.6480265955374674,-0.41289766755150875,-0.7365641440550079,-0.584186474035345
16,R1107,76,5,0.228,22.826,18.23,0.406659379371669,9.05,0.63,-0.5564778957690567,0.2487254166383208,-0.19114478069251684,-0.6631720583349354,-0.2283749764043181,-0.11726787890633829,-0.43826283628524165
17,R1107,81,1,0.3328,41.304,14.08,0.5276232846066277,0.45,0.76,0.9389901509935338,0.6629616315047612,0.8287091306245645,0.5577852502609499,0.7393921073574606,0.4283965585388801,0.7501845911246444
18,R1107,81,2,0.3296,41.304,14.1,0.5261308994523202,0.45,0.75,0.9389901509935338,0.6629616315047612,0.7502588297540197,0.5205041110671826,0.7274523371770238,0.42576685040661405,0.7264587858453493
19,R1107,81,3,0.3225,42.754,13.1,0.5264537303965157,1.36,0.77,1.0563420650429844,0.6191296599316843,0.9071594314951094,0.43778658348101107,0.7300351337625448,0.5572522570199197,0.7542863418261789
20,R1107,81,4,0.3243,40.217,8.8,0.4810237705521542,0.45,0.76,0.8510166816337037,0.6629616315047612,0.8287091306245645,0.4587572242775049,0.36657448268159465,1.1226395054571336,0.6412485562590695
21,R1107,91,1,0.1538,13.406,58.64,0.2235193670248013,1.39,0.27,-1.3188606753179042,0.6176846498798246,-2.0,-1.5276284733904195,-1.6935796200933741,-2.0,-1.359053447924461
22,R1107,91,2,0.1407,15.58,62.82,0.2113551536845205,4.63,0.22,-1.1429137365982445,0.4616235642789796,-2.0,-1.6802481369649054,-1.7908989423136152,-2.0,-1.3764476952870037
23,R1107,91,3,0.1345,14.13,63.0,0.2188992031173009,0.93,0.27,-1.2602656506476952,0.6398414706750063,-2.0,-1.7524803441528296,-1.7305430642098498,-2.0,-1.417246425403489
24,R1107,91,4,0.1521,16.304,67.23,0.2245430809399478,0.93,0.22,-1.0843187119280357,0.6398414706750063,-2.0,-1.5474340785871084,-1.6853894361840225,-2.0,-1.284604487138467
25,R1107,91,5,0.1633,18.478,67.98,0.2260694482989074,0.93,0.22,-0.9083717732083759,0.6398414706750063,-2.0,-1.4169500914089221,-1.6731777926787945,-2.0,-1.1809343897343647
26,R1107,97,1,0.2087,30.797,17.32,0.337440460345599,0.45,0.56,0.08863390208485653,0.6629616315047612,-0.7402968867863294,-0.8880239290973458,-0.7821582828946824,0.002383841111769855,-0.4015234359222261
27,R1107,119,1,0.2513,27.899,17.77,0.4546195975374229,3.62,0.74,-0.14590806130501177,0.5102722360249221,0.671808528883475,-0.39171876358031565,0.1553289093184171,-0.05678459186421758,-0.033294075517795785
28,R1107,119,2,0.2409,24.275,19.69,0.4469240441089016,4.07,0.71,-0.43920691407412266,0.48859708524702694,0.4364576262718406,-0.5128824659600603,0.09376092930828818,-0.3092365725617646,-0.21036938345995934
29,R1107,119,3,0.2606,31.884,13.79,0.4851908383976258,2.71,0.77,0.17660737144468636,0.5541042075979989,0.9071594314951094,-0.28337045279842915,0.39991294913418124,0.4665273264567389,0.17397170442724696
