target,gr_code,model,tm_score,gdt_ts,global_rmsd,lddt,clashscore,inf_all,cc_mask,cc_peaks,tempy_mi,tempy_smoc,ai,ai_bb,ai_base
R1107,125,4,0.2396,15.217,19.42,0.2883333427728346,60.15,0.42,,,,,,,
R1107,125,5,0.2351,15.58,19.37,0.2948961560462838,64.68,0.41,,,,,,,
R1107,128,1,0.3412,46.739,16.19,0.5936209738167113,48.33,0.75,,,,,,,
R1107,128,2,0.2885,32.971,17.64,0.5317464587710902,115.02,0.76,,,,,,,
R1107,128,3,0.3972,53.623,5.98,0.6873212394442777,29.36,0.8,,,,,,,
R1107,128,4,0.2996,31.884,20.37,0.5075638723854942,169.22,0.78,,,,,,,
R1107,128,5,0.2402,31.884,14.73,0.4948545278455848,104.6,0.79,,,,,,,
R1107,131,1,0.1742,14.493,51.59,0.2944501396102241,111.71,0.6,,,,,,,
R1107,131,2,0.172,19.203,49.3,0.3165937937166904,70.46,0.66,,,,,,,
R1107,131,3,0.1839,17.029,51.22,0.3038419714209658,80.89,0.64,,,,,,,
R1107,131,4,0.1719,15.58,43.97,0.3063708138171644,82.77,0.64,,,,,,,
R1107,131,5,0.2446,17.754,37.3,0.3257066882642456,77.41,0.59,,,,,,,
R1107,147,1,0.253,18.841,27.95,0.3142957471270878,3.17,0.55,,,,,,,
R1107,147,2,0.2405,17.029,27.02,0.3191282998136642,6.33,0.55,,,,,,,
R1107,147,3,0.2481,18.841,24.53,0.3111481454211811,3.62,0.56,,,,,,,
R1107,147,4,0.2679,20.29,25.78,0.3102929266041016,2.71,0.54,,,,,,,
R1107,147,5,0.2621,17.029,26.16,0.3207537819361927,0.45,0.57,,,,,,,
R1107,163,1,0.2491,26.449,14.31,0.4545091553723033,23.97,0.61,,,,,,,
R1107,163,2,0.2932,26.449,17.89,0.4028916024308603,31.21,0.62,,,,,,,
R1107,163,5,0.2963,26.449,17.92,0.4067684056115947,35.73,0.59,,,,,,,
R1107,227,1,0.2171,15.942,26.66,0.3152033551763393,1.36,0.53,,,,,,,
R1107,227,2,0.2396,18.841,25.62,0.309784609459513,4.98,0.56,,,,,,,
R1107,227,3,0.2718,18.116,26.42,0.3054462146655868,4.52,0.52,,,,,,,
R1107,227,4,0.264,16.667,25.77,0.3172451193058568,0.9,0.56,,,,,,,
R1107,227,5,0.2449,16.304,25.01,0.305709576751641,4.52,0.54,,,,,,,
R1107,229,1,0.2963,26.449,17.92,0.4067684056115947,35.73,0.59,,,,,,,
R1107,229,2,0.2963,26.449,17.92,0.4067684056115947,35.73,0.59,,,,,,,
R1107,229,3,0.2963,26.449,17.92,0.4067684056115947,35.73,0.59,,,,,,,
R1107,229,4,0.2963,26.449,17.92,0.4067684056115947,35.73,0.59,,,,,,,
R1107,229,5,0.2963,26.449,17.92,0.4067684056115947,35.73,0.59,,,,,,,
R1107,232,1,0.5644,66.667,4.52,0.7241848518659062,14.93,0.87,,,,,,,
R1107,232,2,0.4984,61.232,4.85,0.7210499934867441,9.05,0.85,,,,,,,
R1107,232,3,0.4872,56.522,5.94,0.7278166999881063,17.19,0.86,,,,,,,
R1107,232,4,0.488,58.696,5.31,0.7099774584709141,11.76,0.88,,,,,,,
R1107,232,5,0.4729,62.681,5.02,0.7206053929758783,10.4,0.85,,,,,,,
R1107,235,1,0.2135,28.986,25.01,0.4256143699416072,7.24,0.72,,,,,,,
R1107,235,2,0.1558,19.565,26.73,0.3231509432893641,18.09,0.57,,,,,,,
R1107,235,3,0.2711,24.638,31.11,0.4235442873082129,10.4,0.71,,,,,,,
R1107,235,4,0.2319,26.449,28.15,0.4209673034554238,12.66,0.71,,,,,,,
R1107,235,5,0.1923,17.391,19.17,0.3582956225256707,4.07,0.59,,,,,,,
R1107,238,1,0.2668,27.174,18.18,0.4071676965162576,159.82,0.61,,,,,,,
R1107,245,1,0.2564,20.29,23.54,0.3178752060171157,1.81,0.49,,,,,,,
R1107,245,2,0.1753,21.014,21.4,0.3230291737226939,4.52,0.5,,,,,,,
R1107,245,3,0.2137,17.391,23.66,0.3435218590531425,6.33,0.6,,,,,,,
R1107,245,4,0.1913,18.116,18.26,0.3280911062906724,6.33,0.5,,,,,,,
R1107,245,5,0.1442,14.855,19.04,0.2912090868415239,12.21,0.47,,,,,,,
R1107,248,1,0.3742,34.42,23.59,0.3950870227624134,15.83,0.61,,,,,,,
R1107,248,2,0.323,31.522,22.94,0.4032979729614925,11.31,0.6,,,,,,,
R1107,248,3,0.2858,29.71,23.55,0.3953702078011814,14.93,0.57,,,,,,,
R1107,248,4,0.3005,29.348,23.43,0.3995344437962653,13.12,0.62,,,,,,,
R1107,248,5,0.2837,29.348,22.97,0.3982742703737476,22.61,0.59,,,,,,,
R1107,285,1,0.2447,22.826,21.1,0.3549568709185956,2.71,0.47,,,,,,,
R1107,285,2,0.2517,22.464,21.29,0.3543409434592751,2.26,0.44,,,,,,,
R1107,285,3,0.2618,20.29,19.81,0.3430135419085539,0.9,0.44,,,,,,,
R1107,285,4,0.2532,23.913,21.66,0.3450057486562869,3.16,0.45,,,,,,,
R1107,285,5,0.2357,20.652,21.3,0.3395983303410114,0.45,0.43,,,,,,,
R1107,287,1,0.4101,52.174,6.69,0.6800660387510407,3.17,0.85,,,,,,,
R1107,287,2,0.4191,53.261,6.48,0.6722472998306553,0.9,0.85,,,,,,,
R1107,287,3,0.3291,40.58,16.5,0.5335206130389719,1.81,0.8,,,,,,,
R1107,287,4,0.4041,51.087,6.55,0.6764214473020962,0.9,0.84,,,,,,,
R1107,287,5,0.3404,42.029,15.86,0.5369910456890742,1.36,0.78,,,,,,,
R1107,385,1,0.2636,19.565,23.09,0.3310064962647893,3.62,0.5,,,,,,,
R1107,385,2,0.1753,21.014,21.4,0.3230291737226939,4.52,0.5,,,,,,,
R1107,385,3,0.2137,17.391,23.66,0.3435218590531425,6.33,0.6,,,,,,,
R1107,385,4,0.1913,18.116,18.26,0.3280911062906724,6.33,0.5,,,,,,,
R1107,385,5,0.1442,14.855,19.04,0.2912090868415239,12.21,0.47,,,,,,,
R1107,392,1,0.2873,34.058,16.65,0.5393740477903072,28.04,0.78,,,,,,,
R1107,392,2,0.2289,28.261,18.02,0.5046031728051743,9.5,0.74,,,,,,,
R1107,392,3,0.2233,29.348,18.15,0.4907398492322853,5.43,0.72,,,,,,,
R1107,392,4,0.232,27.899,17.86,0.5030994602493161,4.07,0.76,,,,,,,
R1107,392,5,0.2393,28.986,19.61,0.4830910213351608,10.4,0.73,,,,,,,
R1107,416,1,0.4623,47.464,5.92,0.6022751086014624,24.42,0.78,,,,,,,
R1107,416,2,0.3922,39.855,7.81,0.5761073950941024,14.02,0.77,,,,,,,
R1107,416,3,0.3898,40.217,7.74,0.5801880915027497,6.78,0.76,,,,,,,
R1107,416,4,0.2414,34.783,10.17,0.443412549628178,34.37,0.69,,,,,,,
R1107,416,5,0.4644,46.377,6.51,0.5961257454846146,19.45,0.76,,,,,,,
R1107,434,1,0.2669,17.029,25.06,0.3097902731602884,3.17,0.53,,,,,,,
R1107,434,2,0.2465,15.942,23.54,0.3054518783663622,1.36,0.56,,,,,,,
R1107,434,3,0.2813,19.203,25.71,0.3116154007351484,1.81,0.55,,,,,,,
R1107,434,4,0.2607,17.754,29.39,0.3118759309708149,6.78,0.53,,,,,,,
R1107,434,5,0.2621,17.754,26.35,0.3134192894321007,2.26,0.56,,,,,,,
R1107,439,1,0.2848,35.507,19.31,0.4889826860667297,12.21,0.75,,,,,,,
R1107,439,2,0.2963,26.449,17.92,0.4067684056115947,35.73,0.59,,,,,,,
R1107,439,3,0.264,23.913,20.0,0.408182914880241,24.88,0.58,,,,,,,
R1107,439,4,0.2848,35.507,19.31,0.4889826860667297,12.21,0.75,,,,,,,
R1107,439,5,0.2963,26.449,17.92,0.4067684056115947,35.73,0.59,,,,,,,
R1107,470,1,0.3809,44.565,6.62,0.564294331201894,119.58,0.83,,,,,,,
R1107,470,2,0.3811,44.565,6.93,0.5560281599202551,97.79,0.8,,,,,,,
R1107,470,3,0.3752,43.478,6.52,0.5658645922418627,102.7,0.81,,,,,,,
R1107,470,4,0.3765,44.203,6.69,0.5621874345134598,127.43,0.83,,,,,,,
R1107,470,5,0.4199,47.826,6.1,0.5665513159608752,106.95,0.8,,,,,,,
R1107,489,1,0.3809,44.565,6.62,0.564294331201894,119.58,0.83,,,,,,,
R1107,489,2,0.3811,44.565,6.93,0.5560281599202551,97.79,0.8,,,,,,,
R1107,489,3,0.3752,43.478,6.52,0.5658645922418627,102.7,0.81,,,,,,,
R1107,489,4,0.3765,44.203,6.69,0.5621874345134598,127.43,0.83,,,,,,,
R1107,489,5,0.4199,47.826,6.1,0.5665513159608752,106.95,0.8,,,,,,,
R1108,029,1,0.3836,46.014,16.4,0.5745223077502274,0.0,0.73,,,,,,,
R1108,029,2,0.2684,34.783,16.25,0.4326713118219782,0.0,0.64,,,,,,,
R1108,035,1,0.206,25.362,25.27,0.4471019906981054,3.16,0.63,,,,,,,
R1108,035,2,0.228,26.812,23.6,0.4280609082958304,1.81,0.63,,,,,,,
R1108,035,3,0.2401,27.536,21.49,0.4291324216781637,2.26,0.62,,,,,,,
R1108,035,4,0.223,26.087,23.57,0.4612097675684755,4.97,0.73,,,,,,,
R1108,035,5,0.2645,28.261,24.43,0.3774898206228678,4.07,0.5,,,,,,,
R1108,054,1,0.4298,51.449,6.45,0.6313805725935837,0.9,0.81,,,,,,,
R1108,054,2,0.4309,51.449,6.45,0.6310446386683116,0.45,0.8,,,,,,,
R1108,054,3,0.4363,51.087,6.41,0.6274145250878931,1.36,0.8,,,,,,,
R1108,054,4,0.4197,53.261,6.61,0.6557734299432967,1.36,0.86,,,,,,,
R1108,054,5,0.3511,49.275,6.56,0.6360590316994202,0.9,0.87,,,,,,,
R1108,081,1,0.3756,43.478,13.88,0.5649438469068016,0.0,0.77,,,,,,,
R1108,081,2,0.3462,48.551,12.93,0.566491749346956,0.0,0.81,,,,,,,
R1108,081,3,0.3938,48.913,12.66,0.5765900389799192,0.0,0.8,,,,,,,
R1108,081,4,0.3238,43.841,8.48,0.5117287275633786,0.9,0.78,,,,,,,
R1108,091,1,0.1475,14.855,58.0,0.2335537175722402,1.85,0.24,,,,,,,
R1108,091,2,0.1516,17.391,58.13,0.2244053100728049,0.46,0.24,,,,,,,
R1108,091,3,0.1435,14.855,57.82,0.2343703845285051,2.78,0.22,,,,,,,
R1108,091,4,0.1378,13.768,61.3,0.2259097727812433,0.46,0.24,,,,,,,
R1108,091,5,0.1672,14.493,57.45,0.2386101023440079,1.39,0.24,,,,,,,
R1108,097,1,0.1826,20.29,29.43,0.3459974631196678,0.9,0.54,,,,,,,
R1108,119,1,0.2526,28.623,19.14,0.5112262746665277,3.62,0.79,,,,,,,
R1108,119,2,0.2422,31.884,17.57,0.5271194245104343,4.52,0.74,,,,,,,
R1108,119,3,0.2161,32.971,16.57,0.4965103415521306,4.97,0.77,,,,,,,
R1108,119,4,0.2121,31.159,17.36,0.4839026834170272,0.45,0.72,,,,,,,
R1108,119,5,0.3105,37.319,16.11,0.5365704621408258,5.42,0.78,,,,,,,
R1108,125,1,0.3385,48.188,6.58,0.6399483356790788,1.36,0.84,,,,,,,
R1108,125,2,0.3392,49.638,6.56,0.640773690581687,0.45,0.86,,,,,,,
R1108,125,3,0.3371,48.551,6.57,0.6443299566181879,0.45,0.86,,,,,,,
R1108,125,4,0.3493,48.913,6.62,0.6394704986302004,1.36,0.85,,,,,,,
R1108,125,5,0.3519,49.275,6.63,0.6374838548997122,0.0,0.85,,,,,,,
R1108,128,1,0.4751,55.797,16.09,0.6258289748802511,48.31,0.78,,,,,,,
R1108,128,2,0.3054,32.246,17.64,0.5463632256607183,113.42,0.79,,,,,,,
R1108,128,3,0.5443,64.855,5.48,0.7417145951706602,29.39,0.84,,,,,,,
R1108,128,4,0.2706,32.971,20.64,0.5236065982056495,171.4,0.81,,,,,,,
R1108,128,5,0.2805,33.696,14.55,0.5199706926610022,106.55,0.81,,,,,,,
R1108,131,1,0.1545,17.391,57.8,0.3054247536967212,94.03,0.62,,,,,,,
R1108,131,2,0.158,15.58,52.27,0.3155027714548835,68.69,0.67,,,,,,,
R1108,131,3,0.183,19.565,44.99,0.3314856967443369,107.59,0.68,,,,,,,
R1108,131,4,0.1791,17.029,36.97,0.3183596578107533,72.75,0.68,,,,,,,
R1108,131,5,0.1634,19.565,50.07,0.3373935002577424,72.33,0.66,,,,,,,
R1108,147,1,0.2863,36.957,20.12,0.5323915599497258,6.78,0.74,,,,,,,
R1108,147,2,0.2234,26.087,16.0,0.5466151761046724,5.88,0.76,,,,,,,
R1108,147,3,0.277,34.42,18.94,0.5542663608509554,5.42,0.76,,,,,,,
R1108,147,4,0.2492,25.362,16.77,0.5396894348780502,5.88,0.76,,,,,,,
R1108,147,5,0.2821,34.783,17.93,0.5523231568521833,3.62,0.76,,,,,,,
R1108,163,1,0.3669,40.58,7.93,0.6014332215484237,63.29,0.75,,,,,,,
R1108,227,1,0.2599,35.145,16.95,0.5469149102535142,5.88,0.76,,,,,,,
R1108,227,2,0.2301,26.812,25.52,0.5197621819487643,4.52,0.73,,,,,,,
R1108,227,3,0.2086,26.087,19.1,0.5506376952615941,3.16,0.77,,,,,,,
R1108,227,4,0.2512,26.087,17.81,0.543244252923494,7.23,0.76,,,,,,,
R1108,227,5,0.2713,34.42,18.2,0.5420815161045566,5.88,0.73,,,,,,,
R1108,229,1,0.4016,40.217,9.13,0.5643313466896028,34.36,0.76,,,,,,,
R1108,229,2,0.4016,40.217,9.13,0.5643313466896028,34.36,0.76,,,,,,,
R1108,229,3,0.4016,40.217,9.13,0.5643313466896028,34.36,0.76,,,,,,,
R1108,229,4,0.4016,40.217,9.13,0.5643313466896028,34.36,0.76,,,,,,,
R1108,229,5,0.4016,40.217,9.13,0.5643313466896028,34.36,0.76,,,,,,,
R1108,232,1,0.4646,56.522,5.32,0.7368956809322745,11.3,0.88,,,,,,,
R1108,232,2,0.5222,61.232,4.63,0.7545336600001158,8.14,0.87,,,,,,,
R1108,232,3,0.5221,60.145,6.22,0.7539008879081163,16.73,0.88,,,,,,,
R1108,232,4,0.5368,64.13,4.49,0.7476600464515532,15.37,0.88,,,,,,,
R1108,232,5,0.5172,60.87,4.94,0.7456603708015499,9.95,0.87,,,,,,,
R1108,235,1,0.2899,34.783,33.66,0.4655407088205823,4.52,0.76,,,,,,,
R1108,235,2,0.2568,28.623,19.74,0.4064409538206692,14.92,0.67,,,,,,,
R1108,235,3,0.2508,28.261,19.3,0.4725649134390946,10.4,0.69,,,,,,,
R1108,235,4,0.2243,26.087,23.0,0.4647645856139192,15.37,0.67,,,,,,,
R1108,235,5,0.2267,26.087,20.7,0.4599702872235061,7.69,0.71,,,,,,,
R1108,238,1,0.3886,46.014,9.59,0.6560499962352232,144.75,0.82,,,,,,,
R1108,245,1,0.1926,21.739,22.08,0.3927559903390036,16.79,0.64,,,,,,,
R1108,248,1,0.2849,32.246,29.04,0.4306861160825471,13.56,0.69,,,,,,,
R1108,248,2,0.2717,30.072,33.25,0.424516226187787,14.47,0.7,,,,,,,
R1108,248,3,0.2639,31.522,32.65,0.4223630634857199,15.37,0.66,,,,,,,
R1108,248,4,0.2836,29.71,30.93,0.4228799962931429,14.92,0.69,,,,,,,
R1108,248,5,0.2647,28.986,18.15,0.4969215710123774,12.66,0.72,,,,,,,
R1108,285,1,0.2165,25.362,20.99,0.4332374763253462,2.71,0.57,,,,,,,
R1108,285,2,0.1822,21.739,22.13,0.4235460721794582,2.26,0.57,,,,,,,
R1108,285,3,0.2106,25.0,20.39,0.4330188296757079,0.9,0.55,,,,,,,
R1108,285,4,0.2036,25.0,20.57,0.4277640701291029,1.81,0.56,,,,,,,
R1108,285,5,0.2217,23.913,20.95,0.4216463079124023,1.36,0.55,,,,,,,
R1108,287,1,0.5078,57.246,6.18,0.7234322600823617,3.16,0.87,,,,,,,
R1108,287,2,0.5197,59.058,5.95,0.7154654132856075,1.36,0.89,,,,,,,
R1108,287,3,0.4014,46.014,16.69,0.5733943227166629,1.81,0.82,,,,,,,
R1108,287,4,0.5052,57.246,5.98,0.7174404730876383,4.97,0.87,,,,,,,
R1108,287,5,0.4146,48.913,15.95,0.5789517123942243,3.16,0.8,,,,,,,
R1108,385,1,0.212,22.826,22.09,0.3859779442002166,12.21,0.65,,,,,,,
R1108,385,2,0.1667,18.841,20.98,0.3869567861548887,7.68,0.67,,,,,,,
R1108,385,3,0.2062,19.565,20.81,0.3558293223981049,11.75,0.62,,,,,,,
R1108,385,4,0.1947,19.928,20.42,0.4173139186692383,8.14,0.65,,,,,,,
R1108,385,5,0.1783,17.391,22.32,0.3445813278657191,10.4,0.62,,,,,,,
R1108,416,1,0.5089,56.884,5.43,0.6605489044499662,1.81,0.84,,,,,,,
R1108,416,2,0.4728,56.522,4.95,0.6622633258616994,15.82,0.82,,,,,,,
R1108,416,3,0.5143,59.058,4.8,0.6801416714450371,7.69,0.87,,,,,,,
R1108,416,4,0.5348,58.333,4.91,0.6891829276062391,3.62,0.87,,,,,,,
R1108,416,5,0.3396,47.826,6.61,0.6445905950084853,5.42,0.81,,,,,,,
R1108,434,1,0.213,25.725,24.47,0.5276464932552577,7.23,0.73,,,,,,,
R1108,434,2,0.2318,26.812,24.91,0.5293507787295906,4.07,0.73,,,,,,,
R1108,434,3,0.3093,32.246,17.75,0.546822238825853,7.23,0.74,,,,,,,
R1108,434,4,0.2154,26.087,25.22,0.5197694219040503,6.33,0.73,,,,,,,
R1108,434,5,0.2515,27.536,23.01,0.5385513139070853,8.14,0.72,,,,,,,
R1108,439,1,0.2808,36.594,14.82,0.5140947449508552,4.07,0.77,,,,,,,
R1108,439,2,0.2744,32.609,17.91,0.5113652818080195,9.95,0.8,,,,,,,
R1108,439,3,0.2495,30.072,15.82,0.5112812983267015,6.78,0.76,,,,,,,
R1108,439,4,0.1664,22.826,25.43,0.4162337173405617,23.51,0.72,,,,,,,
R1108,439,5,0.2282,27.899,22.08,0.4187561177622167,5.42,0.68,,,,,,,
R1108,470,1,0.4531,51.449,5.58,0.6555084475798277,111.86,0.85,,,,,,,
R1108,470,2,0.4399,48.913,5.58,0.636937962271145,102.53,0.86,,,,,,,
R1108,470,3,0.4165,47.464,6.01,0.6409054577678929,103.39,0.87,,,,,,,
R1108,470,4,0.4732,52.174,5.28,0.6465772387389735,86.6,0.86,,,,,,,
R1108,470,5,0.365,29.348,9.34,0.5960886865562718,175.37,0.77,,,,,,,
R1108,489,1,0.4531,51.449,5.58,0.6555084475798277,111.86,0.85,,,,,,,
R1108,489,2,0.4399,48.913,5.58,0.636937962271145,102.53,0.86,,,,,,,
R1108,489,3,0.4165,47.464,6.01,0.6409054577678929,103.39,0.87,,,,,,,
R1108,489,4,0.4732,52.174,5.28,0.6465772387389735,86.6,0.86,,,,,,,
R1108,489,5,0.365,29.348,9.34,0.5960886865562718,175.37,0.77,,,,,,,
R1116,029,1,0.4328,32.877,21.46,0.4776881676607101,12.51,0.63,,,,,,,
R1116,029,2,0.2474,9.075,41.52,0.2416253484586309,17.48,0.36,,,,,,,
R1116,029,3,0.3012,9.247,42.5,0.2457003057819097,44.9,0.35,,,,,,,
R1116,035,1,0.2752,19.521,26.51,0.4470220614777673,11.32,0.67,,,,,,,
R1116,035,2,0.2845,20.377,22.32,0.4557291606018757,15.3,0.65,,,,,,,
R1116,035,3,0.3088,19.007,23.95,0.4876982749987773,13.91,0.72,,,,,,,
R1116,035,4,0.3157,20.548,23.6,0.5187952239334312,18.47,0.74,,,,,,,
R1116,035,5,0.3198,20.377,25.33,0.4699603624668426,15.1,0.7,,,,,,,
R1116,054,1,0.3972,26.027,15.56,0.5602096923316977,129.52,0.78,,,,,,,
R1116,054,2,0.4144,24.486,16.49,0.5526396687401459,123.43,0.78,,,,,,,
R1116,054,3,0.3103,22.774,21.36,0.5515817751187146,6.16,0.79,,,,,,,
R1116,054,4,0.4972,36.473,7.94,0.6475898423581304,21.23,0.83,,,,,,,
R1116,054,5,0.3044,20.719,20.97,0.5172313811887068,3.77,0.76,,,,,,,
R1116,076,1,0.3685,26.712,16.65,0.5885649675936384,4.17,0.79,,,,,,,
R1116,076,2,0.2383,19.692,30.95,0.4050696218597968,4.77,0.6,,,,,,,
R1116,076,3,0.4046,27.397,19.17,0.5679444841647822,3.97,0.77,,,,,,,
R1116,076,4,0.3228,19.521,24.19,0.4807238624004695,4.57,0.68,,,,,,,
R1116,076,5,0.2568,19.863,28.43,0.4703824719195325,7.15,0.68,,,,,,,
R1116,081,1,0.504,36.13,12.65,0.6698865369791169,23.24,0.87,,,,,,,
R1116,081,2,0.5316,40.24,14.79,0.6533899173480581,12.12,0.82,,,,,,,
R1116,081,3,0.5191,39.212,15.07,0.6436726666371675,13.91,0.81,,,,,,,
R1116,081,4,0.4123,33.562,18.11,0.6186599160205967,16.49,0.78,,,,,,,
R1116,081,5,0.4817,38.699,16.4,0.5958956987920101,0.79,0.74,,,,,,,
R1116,091,1,0.1431,8.219,82.08,0.2216942134325125,6.16,0.43,,,,,,,
R1116,091,2,0.1267,7.534,80.69,0.2288863762864149,5.56,0.39,,,,,,,
R1116,091,3,0.107,8.219,106.44,0.2233011404524081,5.56,0.41,,,,,,,
R1116,091,4,0.1253,8.562,92.34,0.2270867344681188,6.95,0.46,,,,,,,
R1116,091,5,0.1075,7.021,104.32,0.2304234369141412,0.79,0.43,,,,,,,
R1116,097,1,0.1637,7.877,40.88,0.1899015116758385,1.39,0.32,,,,,,,
R1116,110,1,0.5439,38.185,15.01,0.6414555731256594,62.38,0.81,,,,,,,
R1116,110,2,0.5352,40.24,13.93,0.6501673300092456,83.25,0.81,,,,,,,
R1116,110,3,0.5414,39.384,13.8,0.6475013449280492,82.64,0.83,,,,,,,
R1116,110,4,0.54,39.212,15.84,0.6330570505669658,55.64,0.79,,,,,,,
R1116,110,5,0.5374,40.068,14.79,0.6350627982421616,73.3,0.81,,,,,,,
R1116,119,1,0.3809,25.685,18.29,0.5371695028540421,1.99,0.78,,,,,,,
R1116,119,2,0.3345,23.973,18.66,0.5765374681816806,1.99,0.8,,,,,,,
R1116,119,3,0.2469,16.096,25.11,0.5235071298653209,3.97,0.78,,,,,,,
R1116,119,4,0.4089,28.767,18.52,0.5777368412472549,4.37,0.79,,,,,,,
R1116,119,5,0.3506,23.973,16.63,0.5590883367373792,4.17,0.79,,,,,,,
R1116,125,1,0.4362,31.849,12.17,0.5658793500562425,6.95,0.79,,,,,,,
R1116,125,2,0.377,27.74,13.43,0.5515351975239351,5.96,0.81,,,,,,,
R1116,125,3,0.3616,24.486,12.25,0.5498991595073022,6.35,0.8,,,,,,,
R1116,125,4,0.2723,20.719,23.12,0.5427564853478531,7.35,0.79,,,,,,,
R1116,125,5,0.4061,28.767,14.59,0.5889620415891343,9.33,0.8,,,,,,,
R1116,131,1,0.2324,10.616,39.09,0.2740322922464607,108.92,0.49,,,,,,,
R1116,131,2,0.1728,9.589,58.17,0.2818986657847975,93.76,0.54,,,,,,,
R1116,131,3,0.1994,15.068,59.43,0.2825891786274048,102.13,0.53,,,,,,,
R1116,131,4,0.2228,11.13,32.62,0.2811179088523047,99.98,0.47,,,,,,,
R1116,131,5,0.2686,11.301,54.09,0.2793782356872873,89.5,0.49,,,,,,,
R1116,147,1,0.4497,34.075,11.89,0.5455971364094729,0.4,0.76,,,,,,,
R1116,147,2,0.3528,24.144,17.63,0.5330916344310896,0.4,0.79,,,,,,,
R1116,147,3,0.3755,27.055,17.28,0.5285043235652355,0.6,0.75,,,,,,,
R1116,147,4,0.4234,27.397,14.56,0.59450419314797,0.2,0.81,,,,,,,
R1116,147,5,0.3708,26.37,16.26,0.5197186247499366,0.6,0.76,,,,,,,
R1116,163,1,0.3492,25.342,19.8,0.4547970264863493,207.39,0.55,,,,,,,
R1116,163,2,0.3378,22.26,15.64,0.4496927043184417,303.14,0.53,,,,,,,
R1116,163,3,0.4199,27.568,15.8,0.479937865488564,288.64,0.58,,,,,,,
R1116,177,1,0.2156,7.877,37.92,0.2695981052234443,266.21,0.37,,,,,,,
R1116,185,1,0.4904,37.158,16.15,0.6589978597595199,13.71,0.83,,,,,,,
R1116,185,2,0.5032,40.582,18.26,0.6625185437049216,11.72,0.85,,,,,,,
R1116,185,3,0.5,37.329,16.41,0.6565315761159409,11.12,0.82,,,,,,,
R1116,185,4,0.4838,36.986,16.34,0.6579655838152174,16.29,0.81,,,,,,,
