target,gr_code,model,tm_score,gdt_ts,global_rmsd,lddt,clashscore,inf_all,cc_mask,cc_peaks,tempy_mi,tempy_smoc,ai,ai_bb,ai_base
R1107,029,1,0.2762,35.145,17.15,0.4246147267547561,0.45,0.57,,,,,,,
R1107,029,2,0.2801,34.42,17.1,0.4464242225154761,0.0,0.64,,,,,,,
R1107,035,1,0.2326,19.203,20.6,0.3427700027752133,1.36,0.46,,,,,,,
R1107,035,2,0.1928,19.203,22.06,0.3361038269626139,0.9,0.47,,,,,,,
R1107,035,3,0.2106,19.928,21.47,0.3475855643594637,1.81,0.49,,,,,,,
R1107,035,4,0.1507,18.478,22.82,0.3204026324881204,2.26,0.47,,,,,,,
R1107,035,5,0.2407,18.478,21.8,0.3391070042987489,3.17,0.51,,,,,,,
R1107,054,1,0.3683,36.232,7.74,0.5802277374081772,0.45,0.83,,,,,,,
R1107,054,2,0.3718,46.014,6.43,0.6198424924814372,1.36,0.82,,,,,,,
R1107,054,3,0.3739,43.116,8.13,0.5795395977639709,1.36,0.78,,,,,,,
R1107,054,4,0.3681,38.406,7.51,0.5985413138653058,10.85,0.84,,,,,,,
R1107,054,5,0.3958,40.217,7.81,0.5720465216381688,0.9,0.76,,,,,,,
R1107,076,1,0.232,20.652,20.26,0.3700449697841563,7.69,0.55,,,,,,,
R1107,076,2,0.2553,23.188,19.96,0.4075499963185945,7.69,0.62,,,,,,,
R1107,076,3,0.2987,22.464,18.98,0.3891854465544876,7.24,0.57,,,,,,,
R1107,076,4,0.2293,19.928,22.94,0.3835953738892066,6.78,0.57,,,,,,,
R1107,076,5,0.228,22.826,18.23,0.406659379371669,9.05,0.63,,,,,,,
R1107,081,1,0.3328,41.304,14.08,0.5276232846066277,0.45,0.76,,,,,,,
R1107,081,2,0.3296,41.304,14.1,0.5261308994523202,0.45,0.75,,,,,,,
R1107,081,3,0.3225,42.754,13.1,0.5264537303965157,1.36,0.77,,,,,,,
R1107,081,4,0.3243,40.217,8.8,0.4810237705521542,0.45,0.76,,,,,,,
R1107,091,1,0.1538,13.406,58.64,0.2235193670248013,1.39,0.27,,,,,,,
R1107,091,2,0.1407,15.58,62.82,0.2113551536845205,4.63,0.22,,,,,,,
R1107,091,3,0.1345,14.13,63.0,0.2188992031173009,0.93,0.27,,,,,,,
R1107,091,4,0.1521,16.304,67.23,0.2245430809399478,0.93,0.22,,,,,,,
R1107,091,5,0.1633,18.478,67.98,0.2260694482989074,0.93,0.22,,,,,,,
R1107,097,1,0.2087,30.797,17.32,0.337440460345599,0.45,0.56,,,,,,,
R1107,119,1,0.2513,27.899,17.77,0.4546195975374229,3.62,0.74,,,,,,,
R1107,119,2,0.2409,24.275,19.69,0.4469240441089016,4.07,0.71,,,,,,,
R1107,119,3,0.2606,31.884,13.79,0.4851908383976258,2.71,0.77,,,,,,,
R1107,119,4,0.2236,27.174,19.22,0.4849416355635099,2.71,0.7,,,,,,,
R1107,119,5,0.2211,30.797,14.98,0.487110832960473,6.33,0.7,,,,,,,
R1107,125,1,0.3928,40.58,7.82,0.5743077541727315,0.45,0.76,,,,,,,
R1107,125,2,0.3924,40.58,7.81,0.5742780197436609,0.45,0.76,,,,,,,
R1107,125,3,0.2577,35.87,9.78,0.4534217248234341,1.81,0.73,,,,,,,
