target,gr_code,model,global_rmsd,lddt,tm_score,gdt_ts,clashscore,cc_mask,cc_peaks,tempy_mi,tempy_smoc,ai,ai_bb,ai_base,id
R1136,185,2,52.99,0.355243482,0.1821,7.019,0.75,0.0325,-0.3103,0.016243538,0.245123183,0.188024552,0.178253119,0.200572246,884
R1136,185,3,38.17,0.389099718,0.2145,8.957,0.92,0.0573,-0.2445,0.021146583,0.318056695,0.251158712,0.241755793,0.26323319,885
R1136,185,4,64.81,0.383990413,0.1704,8.222,0.58,0.0292,-0.2428,0.027700122,0.403007636,0.280596267,0.254901961,0.313590844,886
R1136,185,5,45.96,0.397785644,0.2067,7.754,0.75,0.0312,-0.2447,0.018520887,0.271230875,0.242765877,0.222593583,0.268669528,887
R1136,227,1,50.01,0.536583572,0.2055,9.358,0.58,0.0593,-0.3226,0.018662296,0.337812297,0.192158336,0.198306595,0.184263233,888
R1136,227,2,49.2,0.549577191,0.2096,9.826,0.33,0.0588,-0.3304,0.014290799,0.195302251,0.207315546,0.194518717,0.223748212,889
R1136,227,3,39.06,0.541814973,0.2723,9.693,0.83,0.0717,-0.2774,0.019083041,0.302937222,0.246398597,0.230392157,0.26695279,890
R1136,227,4,47.1,0.55141145,0.2403,12.366,0.67,0.0782,-0.2559,0.019421764,0.283462844,0.242891144,0.228832442,0.27639485,891
R1136,227,5,39.04,0.571466846,0.2428,12.166,0.25,0.0681,-0.2699,0.017151031,0.298524387,0.240511086,0.227272727,0.257796853,892
R1136,229,1,46.19,0.553164382,0.2189,11.832,29.47,0.0526,-0.2277,0.02015536,0.358107921,0.282725792,0.262032086,0.309298999,893
R1136,229,2,51.13,0.554919041,0.2194,12.166,31.55,0.0763,-0.2282,0.022082338,0.330020455,0.287110109,0.274064171,0.303862661,894
R1136,229,3,42.71,0.533933679,0.2552,12.5,39.96,0.0505,-0.2634,0.018034468,0.267672095,0.246899662,0.239973262,0.255793991,895
R1136,229,4,41.63,0.561731879,0.2543,13.837,40.96,0.0955,-0.2386,0.018639228,0.310831225,0.280345735,0.261809269,0.304148784,896
R1136,229,5,46,0.55810068,0.2425,11.364,20.48,0.0471,-0.2788,0.02217552,0.314065663,0.244519604,0.2364082,0.254935622,897
R1136,232,1,8.15,0.778160391,0.7101,33.957,12.49,0.1671,0.0842,0.046688611,0.714890015,0.554803958,0.49131016,0.636337625,898
R1136,232,2,16.7,0.775093946,0.65,34.225,15.82,0.1723,0.0871,0.040754932,0.654132075,0.560315671,0.504901961,0.631473534,899
R1136,232,3,7.25,0.775040447,0.7477,38.235,13.98,0.2249,0.1698,0.04920185,0.734721148,0.614054867,0.557040998,0.687267525,900
R1136,232,4,13.05,0.771161388,0.6039,31.885,15.15,0.1613,0.0377,0.041669762,0.679344972,0.496930978,0.46100713,0.543061516,901
R1136,232,5,8.09,0.776410694,0.7169,36.832,12.32,0.2058,0.144,0.045852627,0.715766964,0.595014406,0.554590018,0.646924177,902
R1136,235,1,41.38,0.539746012,0.2529,10.294,114.8,0.0402,-0.2554,0.025004224,0.421817585,0.293749217,0.259803922,0.337339056,903
R1136,235,2,37.86,0.521030231,0.2519,7.487,135.29,0.0396,-0.2464,0.024523062,0.387680438,0.274332958,0.256684492,0.297854077,904
R1136,235,3,36.69,0.538288399,0.2968,10.896,119.47,0.0369,-0.2463,0.022362658,0.401459106,0.268695979,0.26983066,0.267238913,905
R1136,235,4,30.27,0.608148354,0.2851,12.099,105.43,0.0352,-0.2555,0.022400936,0.383818105,0.273957159,0.258467023,0.293848355,906
R1136,235,5,40.79,0.603654927,0.2182,11.965,106.32,0.0334,-0.2418,0.021917305,0.366884865,0.282600526,0.275178253,0.292131617,907
R1136,238,1,36.71,0.307080114,0.2043,6.217,335.41,0.183,-0.123,0.015543225,0.67428403,0.463610172,0.463235294,0.464091559,908
R1136,238,2,46.72,0.320698024,0.2043,7.152,331.29,0.2119,-0.1244,0.014536394,0.665281476,0.438556933,0.440508021,0.436051502,909
R1136,238,3,49.2,0.358571876,0.1547,7.955,430.73,0.3258,-0.2182,0.010074789,0.754292915,0.487786546,0.468137255,0.513018598,910
R1136,239,1,46.19,0.553164382,0.2189,11.832,29.47,0.0526,-0.2277,0.02015536,0.358107921,0.282725792,0.262032086,0.309298999,911
R1136,239,2,43.8,0.558590794,0.2494,11.832,28.39,0.0384,-0.2602,0.023861361,0.382756789,0.250156583,0.241755793,0.265236052,912
R1136,239,3,56.05,0.55220055,0.1954,11.163,34.31,0.0809,-0.3137,0.012593255,0.219015648,0.217462107,0.217468806,0.217453505,913
R1136,239,4,42.71,0.533933679,0.2552,12.5,39.96,0.0505,-0.2634,0.018034468,0.267672095,0.246899662,0.239973262,0.255793991,914
R1136,239,5,46.51,0.525956606,0.2284,10.561,62.81,0.061,-0.2423,0.019915374,0.401401628,0.280596267,0.264483066,0.319599428,915
R1136,245,1,50.39,0.345339175,0.1712,5.548,7.74,0.0247,-0.3342,0.016308667,0.201168845,0.170612552,0.173796791,0.166523605,916
R1136,245,2,41.58,0.340772403,0.1741,6.484,8.74,0.0357,-0.3162,0.014412825,0.218771797,0.191281473,0.172905526,0.214878398,917
R1136,245,3,42.77,0.337254026,0.1837,5.949,10.57,0.0469,-0.2413,0.023840094,0.370900787,0.26669172,0.268716578,0.264091559,918
R1136,245,4,35.46,0.338838051,0.183,5.548,9.91,0.0394,-0.2473,0.019021656,0.358098335,0.254540899,0.253787879,0.255507868,919
R1136,245,5,36.39,0.321627557,0.188,5.281,8.49,0.0325,-0.2784,0.024731182,0.421948376,0.238005762,0.223484848,0.256652361,920
R1136,248,1,53.84,0.533131852,0.2445,9.893,0.42,0.0421,-0.2739,0.020711589,0.345571168,0.251158712,0.21412656,0.298712446,921
R1136,248,2,53.83,0.536303137,0.2115,9.826,0.92,0.0626,-0.2612,0.018699191,0.353170647,0.236377302,0.198975045,0.284406295,922
